1,08/03/17,35,Meevee,'debit',3
2,22/03/17,9.15,Edgewire,'debit',5
3,24/03/17,1.58,Browsecat,'debit',5
4,29/03/17,14.88,Tambee,'debit',4
5,27/03/17,21.87,Fivechat,'debit',2
6,09/03/17,34.62,Browsetype,'debit',5
7,07/03/17,26.84,Plambee,'debit',1
8,15/03/17,18.75,Oloo,'debit',5
9,16/03/17,45.91,Wordify,'debit',4
10,04/03/17,10.47,Voomm,'debit',5
11,13/03/17,10.98,Zava,'debit',1
12,04/03/17,12.73,Skivee,'debit',5
13,12/03/17,47.41,Realbridge,'debit',1
14,22/03/17,31.63,Skiptube,'debit',5
15,14/03/17,26.25,Youspan,'debit',5
16,10/03/17,2.79,Kwilith,'debit',3
17,24/03/17,36.2,Browsecat,'debit',2
18,17/03/17,45.29,Vidoo,'debit',5
19,21/03/17,19.59,Youspan,'debit',4
20,13/03/17,9.53,Viva,'debit',2
21,23/03/17,26.11,Aimbo,'debit',2
22,16/03/17,29.25,Buzzbean,'debit',4
23,20/03/17,27.49,Fanoodle,'debit',4
24,09/03/17,26.89,Trupe,'debit',3
25,16/03/17,31.76,Wikivu,'debit',3
26,06/03/17,20.92,Voolia,'debit',1
27,27/03/17,11.86,Leenti,'debit',4
28,06/03/17,28.15,Centidel,'debit',5
29,19/03/17,40.65,Photojam,'debit',3
30,21/03/17,19.61,Linkbridge,'debit',2
31,30/03/17,42.36,Shufflebeat,'debit',2
32,19/03/17,15,Eayo,'debit',2
33,21/03/17,37.9,Chatterbridge,'debit',2
34,23/03/17,40.82,Buzzshare,'debit',4
35,18/03/17,49.64,Kanoodle,'debit',5
36,18/03/17,20.54,Zoomcast,'debit',2
37,21/03/17,43.78,Babbleset,'debit',5
38,27/03/17,13.83,Ozu,'debit',2
39,05/03/17,21.6,Photobug,'debit',5
40,21/03/17,49.78,Dablist,'debit',5
41,17/03/17,15.95,Bubblemix,'debit',3
42,02/03/17,46.6,Edgewire,'debit',2
43,16/03/17,4.94,Ntags,'debit',2
44,18/03/17,7.35,Rhycero,'debit',4
45,04/03/17,27,Zoonder,'debit',2
46,06/03/17,1.26,Mydo,'debit',5
47,22/03/17,28.11,Leenti,'debit',4
48,26/03/17,26.84,Realbridge,'debit',1
49,11/03/17,9.14,Cogidoo,'debit',4
50,21/03/17,26.56,Npath,'debit',4
51,02/03/17,17.94,Wordpedia,'debit',1
52,30/03/17,41.88,Shufflester,'debit',4
53,11/03/17,41.82,Aivee,'debit',5
54,10/03/17,29.69,Quatz,'debit',2
55,16/03/17,41.12,Centizu,'debit',4
56,12/03/17,30.71,Wordpedia,'debit',3
57,18/03/17,45.84,Eidel,'debit',5
58,03/03/17,28.36,Meevee,'debit',3
59,23/03/17,21.31,Meembee,'debit',1
60,15/03/17,3.49,Wikizz,'debit',3
61,13/03/17,35.31,Pixonyx,'debit',4
62,05/03/17,13.55,Shufflebeat,'debit',1
63,17/03/17,46.02,Divavu,'debit',2
64,27/03/17,28.71,Demimbu,'debit',3
65,09/03/17,13.27,Topiclounge,'debit',5
66,28/03/17,39.13,Wikivu,'debit',1
67,07/03/17,20.59,Skipstorm,'debit',5
68,20/03/17,40.37,Voonix,'debit',5
69,18/03/17,22.31,Skynoodle,'debit',5
70,30/03/17,46.68,Jetpulse,'debit',1
71,14/03/17,9.12,Zoomdog,'debit',2
72,28/03/17,25.41,Twimm,'debit',4
73,16/03/17,47.66,Feedmix,'debit',3
74,21/03/17,21.49,Jayo,'debit',2
75,08/03/17,48.34,Meezzy,'debit',4
76,18/03/17,8.94,Izio,'debit',4
77,01/03/17,47.01,Skinte,'debit',4
78,21/03/17,20.4,Avaveo,'debit',5
79,21/03/17,16.1,Feedmix,'debit',3
80,10/03/17,22.76,Jetpulse,'debit',1
81,16/03/17,42.4,Eadel,'debit',3
82,10/03/17,32.63,Innotype,'debit',3
83,17/03/17,1.27,LiveZ,'debit',2
84,16/03/17,16.95,Twimbo,'debit',4
85,21/03/17,28.97,Meedoo,'debit',5
86,28/03/17,42.1,Lazzy,'debit',3
87,24/03/17,21.52,Leenti,'debit',3
88,05/03/17,45.31,Gigashots,'debit',5
89,13/03/17,48.75,Omba,'debit',4
90,12/03/17,26.26,Yozio,'debit',1
91,15/03/17,3.59,Oloo,'debit',5
92,20/03/17,19.79,Jamia,'debit',2
93,21/03/17,8.12,Devpoint,'debit',4
94,06/03/17,2.02,Roombo,'debit',3
95,28/03/17,23.02,Tagcat,'debit',1
96,23/03/17,11.59,Kare,'debit',5
97,22/03/17,35.44,Voonder,'debit',5
98,01/03/17,39.98,Twitterlist,'debit',3
99,01/03/17,24.54,Mydeo,'debit',1
100,08/03/17,39.42,Ailane,'debit',3
